Time, state(0), state(1)
0, 10, 0
0.01, 9.9995095, -0.09809999999999999
0.02, 9.998038000000001, -0.19619999999999999
0.03, 9.9955855, -0.2943
0.04, 9.992152, -0.39239999999999997
0.05, 9.987737500000001, -0.49049999999999994
0.060000000000000005, 9.982342000000001, -0.5885999999999999
0.07, 9.975965500000001, -0.6866999999999999
0.08, 9.968608000000001, -0.7847999999999998
0.09, 9.9602695, -0.8828999999999998
0.09999999999999999, 9.95095, -0.9809999999999998
0.10999999999999999, 9.940649500000001, -1.0790999999999997
0.11999999999999998, 9.929368, -1.1771999999999998
0.12999999999999998, 9.9171055, -1.2752999999999999
0.13999999999999999, 9.903862, -1.3734
0.15, 9.889637500000001, -1.4715
0.16, 9.874432, -1.5696
0.17, 9.8582455, -1.6677000000000002
0.18000000000000002, 9.841078000000001, -1.7658000000000003
0.19000000000000003, 9.8229295, -1.8639000000000003
0.20000000000000004, 9.8038, -1.9620000000000004
0.21000000000000005, 9.783689500000001, -2.0601000000000003
0.22000000000000006, 9.762598, -2.1582000000000003
0.23000000000000007, 9.7405255, -2.2563000000000004
0.24000000000000007, 9.717472, -2.3544000000000005
0.25000000000000006, 9.6934375, -2.4525000000000006
0.26000000000000006, 9.668422, -2.5506000000000006
0.2700000000000001, 9.6424255, -2.6487000000000007
0.2800000000000001, 9.615448, -2.746800000000001
0.2900000000000001, 9.5874895, -2.844900000000001
0.3000000000000001, 9.55855, -2.943000000000001
0.3100000000000001, 9.528629500000001, -3.041100000000001
0.3200000000000001, 9.497728, -3.139200000000001
0.3300000000000001, 9.4658455, -3.237300000000001
0.34000000000000014, 9.432982, -3.3354000000000013
0.35000000000000014, 9.3991375, -3.4335000000000013
0.36000000000000015, 9.364312, -3.5316000000000014
0.37000000000000016, 9.3285055, -3.6297000000000015
0.38000000000000017, 9.291718, -3.7278000000000016
0.3900000000000002, 9.2539495, -3.8259000000000016
0.4000000000000002, 9.2152, -3.9240000000000017
0.4100000000000002, 9.1754695, -4.022100000000002
0.4200000000000002, 9.134758, -4.120200000000001
0.4300000000000002, 9.0930655, -4.218300000000001
0.4400000000000002, 9.050392, -4.316400000000001
0.45000000000000023, 9.0067375, -4.4145
0.46000000000000024, 8.962102, -4.5126
0.47000000000000025, 8.9164855, -4.6107
0.48000000000000026, 8.869888, -4.708799999999999
0.49000000000000027, 8.8223095, -4.806899999999999
0.5000000000000002, 8.77375, -4.9049999999999985
0.5100000000000002, 8.7242095, -5.003099999999998
0.5200000000000002, 8.673688, -5.101199999999998
0.5300000000000002, 8.6221855, -5.199299999999997
0.5400000000000003, 8.569702000000001, -5.297399999999997
0.5500000000000003, 8.5162375, -5.395499999999997
0.5600000000000003, 8.461792, -5.493599999999996
0.5700000000000003, 8.406365500000001, -5.591699999999996
0.5800000000000003, 8.349958, -5.6897999999999955
0.5900000000000003, 8.2925695, -5.787899999999995
0.6000000000000003, 8.234200000000001, -5.885999999999995
0.6100000000000003, 8.1748495, -5.984099999999994
0.6200000000000003, 8.114518, -6.082199999999994
0.6300000000000003, 8.0532055, -6.180299999999994
0.6400000000000003, 7.990912000000001, -6.278399999999993
0.6500000000000004, 7.9276375, -6.376499999999993
0.6600000000000004, 7.8633820000000005, -6.474599999999993
0.6700000000000004, 7.7981455, -6.572699999999992
0.6800000000000004, 7.731928000000001, -6.670799999999992
0.6900000000000004, 7.664729500000001, -6.7688999999999915
0.7000000000000004, 7.596550000000001, -6.866999999999991
0.7100000000000004, 7.527389500000001, -6.965099999999991
0.7200000000000004, 7.457248000000001, -7.06319999999999
0.7300000000000004, 7.386125500000001, -7.16129999999999
0.7400000000000004, 7.314022000000001, -7.25939999999999
0.7500000000000004, 7.240937500000001, -7.357499999999989
0.7600000000000005, 7.1668720000000015, -7.455599999999989
0.7700000000000005, 7.0918255000000014, -7.5536999999999885
0.7800000000000005, 7.015798000000002, -7.651799999999988
0.7900000000000005, 6.938789500000002, -7.749899999999988
0.8000000000000005, 6.860800000000002, -7.847999999999987
0.8100000000000005, 6.781829500000002, -7.946099999999987
0.8200000000000005, 6.7018780000000024, -8.044199999999988
0.8300000000000005, 6.620945500000002, -8.142299999999988
0.8400000000000005, 6.539032000000002, -8.240399999999989
0.8500000000000005, 6.456137500000002, -8.33849999999999
0.8600000000000005, 6.372262000000003, -8.43659999999999
0.8700000000000006, 6.287405500000003, -8.53469999999999
0.8800000000000006, 6.201568000000003, -8.63279999999999
0.8900000000000006, 6.114749500000003, -8.730899999999991
0.9000000000000006, 6.026950000000003, -8.828999999999992
0.9100000000000006, 5.938169500000003, -8.927099999999992
0.9200000000000006, 5.848408000000004, -9.025199999999993
0.9300000000000006, 5.757665500000003, -9.123299999999993
0.9400000000000006, 5.665942000000004, -9.221399999999994
0.9500000000000006, 5.573237500000004, -9.319499999999994
0.9600000000000006, 5.4795520000000035, -9.417599999999995
0.9700000000000006, 5.384885500000004, -9.515699999999995
0.9800000000000006, 5.289238000000004, -9.613799999999996
0.9900000000000007, 5.192609500000004, -9.711899999999996
1.0000000000000007, 5.095000000000004, -9.809999999999997
1.0100000000000007, 4.996409500000004, -9.908099999999997
1.0200000000000007, 4.896838000000004, -10.006199999999998
1.0300000000000007, 4.796285500000004, -10.104299999999999
1.0400000000000007, 4.694752000000004, -10.202399999999999
1.0500000000000007, 4.592237500000004, -10.3005
1.0600000000000007, 4.488742000000004, -10.3986
1.0700000000000007, 4.384265500000004, -10.4967
1.0800000000000007, 4.278808000000004, -10.594800000000001
1.0900000000000007, 4.172369500000004, -10.692900000000002
1.1000000000000008, 4.064950000000004, -10.791000000000002
1.1100000000000008, 3.956549500000004, -10.889100000000003
1.1200000000000008, 3.847168000000004, -10.987200000000003
1.1300000000000008, 3.736805500000004, -11.085300000000004
1.1400000000000008, 3.625462000000004, -11.183400000000004
1.1500000000000008, 3.513137500000004, -11.281500000000005
1.1600000000000008, 3.399832000000004, -11.379600000000005
1.1700000000000008, 3.285545500000004, -11.477700000000006
1.1800000000000008, 3.170278000000004, -11.575800000000006
1.1900000000000008, 3.054029500000004, -11.673900000000007
1.2000000000000008, 2.936800000000004, -11.772000000000007
1.2100000000000009, 2.818589500000004, -11.870100000000008
1.2200000000000009, 2.699398000000004, -11.968200000000008
1.2300000000000009, 2.5792255000000037, -12.066300000000009
1.2400000000000009, 2.4580720000000036, -12.16440000000001
1.2500000000000009, 2.3359375000000036, -12.26250000000001
1.260000000000001, 2.2128220000000036, -12.36060000000001
1.270000000000001, 2.0887255000000033, -12.458700000000011
1.280000000000001, 1.9636480000000032, -12.556800000000012
1.290000000000001, 1.837589500000003, -12.654900000000012
1.300000000000001, 1.710550000000003, -12.753000000000013
1.310000000000001, 1.5825295000000028, -12.851100000000013
1.320000000000001, 1.4535280000000026, -12.949200000000014
1.330000000000001, 1.3235455000000025, -13.047300000000014
1.340000000000001, 1.1925820000000023, -13.145400000000015
1.350000000000001, 1.0606375000000021, -13.243500000000015
1.360000000000001, 0.927712000000002, -13.341600000000016
1.370000000000001, 0.7938055000000018, -13.439700000000016
1.380000000000001, 0.6589180000000017, -13.537800000000017
1.390000000000001, 0.5230495000000015, -13.635900000000017
1.400000000000001, 0.3862000000000013, -13.734000000000018
1.410000000000001, 0.2483695000000012, -13.832100000000018
1.420000000000001, 0.10955800000000099, -13.930200000000019
1.430000000000001, -0.030234499999999165, 11.222640000000016
1.440000000000001, 0.081501400000001, 11.124540000000016
1.450000000000001, 0.19225630000000116, 11.026440000000015
1.460000000000001, 0.3020302000000013, 10.928340000000015
1.470000000000001, 0.41082310000000144, 10.830240000000014
1.480000000000001, 0.5186350000000016, 10.732140000000014
1.490000000000001, 0.6254659000000018, 10.634040000000013
1.500000000000001, 0.731315800000002, 10.535940000000013
1.5100000000000011, 0.8361847000000021, 10.437840000000012
1.5200000000000011, 0.9400726000000023, 10.339740000000011
1.5300000000000011, 1.0429795000000024, 10.241640000000011
1.5400000000000011, 1.1449054000000025, 10.14354000000001
1.5500000000000012, 1.2458503000000025, 10.04544000000001
1.5600000000000012, 1.3458142000000026, 9.94734000000001
1.5700000000000012, 1.4447971000000028, 9.849240000000009
1.5800000000000012, 1.542799000000003, 9.751140000000008
1.5900000000000012, 1.639819900000003, 9.653040000000008
1.6000000000000012, 1.7358598000000032, 9.554940000000007
1.6100000000000012, 1.8309187000000033, 9.456840000000007
1.6200000000000012, 1.9249966000000034, 9.358740000000006
1.6300000000000012, 2.0180935000000035, 9.260640000000006
1.6400000000000012, 2.1102094000000036, 9.162540000000007
1.6500000000000012, 2.2013443000000037, 9.064440000000008
1.6600000000000013, 2.291498200000004, 8.96634000000001
1.6700000000000013, 2.380671100000004, 8.86824000000001
1.6800000000000013, 2.468863000000004, 8.770140000000012
1.6900000000000013, 2.556073900000004, 8.672040000000013
1.7000000000000013, 2.642303800000004, 8.573940000000015
1.7100000000000013, 2.7275527000000044, 8.475840000000016
1.7200000000000013, 2.8118206000000043, 8.377740000000017
